twitter_handle_id,degree_total,degree_in,degree_out,pr,adj_tri
9.25896e+17,1,1,0,5.395927278596329e-4,0
1.32338e+18,1,1,0,3.945990948832116e-4,0
66697054,1,1,0,3.711113056335678e-4,0
382466573,1,1,0,2.334993373351521e-4,0
1.05466e+18,1,1,0,2.334993373351521e-4,0
1.20774e+18,1,1,0,4.571500518559937e-4,0
1271355828,2,2,0,3.548064543604267e-4,0
448589470,1,1,0,2.8376776243294695e-4,0
1.26575e+18,1,1,0,4.437723018856831e-4,0
64734256,2,2,0,7.160909846558065e-4,0
44535512,1,1,0,3.3819189559209105e-4,0
2285457534,1,1,0,5.967349777938572e-4,0
3299803690,1,1,0,3.5330791489668594e-4,0
4277450819,1,1,0,3.711113056335678e-4,0
1.2403e+18,1,1,0,3.711113056335678e-4,0
