,time,open,close,high,low,volume,id_date
15411,2021-03-11 12:16:00+08:00,56036.0,55940.0,56036.0,55940.0,0.51386828,20210311
15410,2021-03-11 12:17:00+08:00,55939.77595173,55857.4571874,55939.77595173,55857.4571874,2.08414019,20210311
15409,2021-03-11 12:18:00+08:00,55857.0,55838.0,55857.0,55838.0,1.43367829,20210311
15408,2021-03-11 12:19:00+08:00,55837.17575271,55764.005238,55837.17575271,55748.21148224,1.27631693,20210311
15407,2021-03-11 12:20:00+08:00,55764.930512,55814.0,55857.0,55764.930512,0.31286148,20210311
15406,2021-03-11 12:21:00+08:00,55800.0,55739.0,55800.0,55738.15474735,0.7174744000000001,20210311
15405,2021-03-11 12:22:00+08:00,55772.0,55838.0,55839.0,55772.0,0.31964267,20210311
15404,2021-03-11 12:23:00+08:00,55838.77289344,55888.0,55888.0,55838.65338,0.60470468,20210311
15403,2021-03-11 12:24:00+08:00,55869.0,55912.0,55912.0,55869.0,1.13774211,20210311
15402,2021-03-11 12:25:00+08:00,55912.0,55949.893848,55949.893848,55901.0,0.53743068,20210311
15401,2021-03-11 12:26:00+08:00,55949.0,55962.0,55964.0,55948.972316,1.67086648,20210311
15400,2021-03-11 12:27:00+08:00,55963.0,56014.0,56016.244152,55962.6842208,0.9737768400000001,20210311
15399,2021-03-11 12:28:00+08:00,56014.0,55987.7621016,56014.0,55977.539808,3.00815882,20210311
15398,2021-03-11 12:29:00+08:00,55997.0,55942.0,55997.0,55922.0,2.96256867,20210311
15397,2021-03-11 12:30:00+08:00,55956.6334428,55911.0,55982.147468,55911.0,2.390382,20210311
15396,2021-03-11 12:31:00+08:00,55911.0,55922.2809684,55961.0,55907.7328125,1.00305105,20210311
15395,2021-03-11 12:32:00+08:00,55957.0,56025.0,56039.0,55957.0,1.59777562,20210311
15394,2021-03-11 12:33:00+08:00,56030.5807374,56096.0,56096.0,56030.5807374,1.86541487,20210311
15393,2021-03-11 12:34:00+08:00,56097.0,56211.0,56212.185681,56066.0,4.02551735,20210311
15392,2021-03-11 12:35:00+08:00,56196.0,56141.01081567,56199.0,56141.0,1.09388714,20210311
15391,2021-03-11 12:36:00+08:00,56141.0,56114.0,56141.0,56099.0,1.9326239699999999,20210311
15390,2021-03-11 12:37:00+08:00,56100.0,56073.0,56124.0,56050.0,10.633220920000001,20210311
15389,2021-03-11 12:38:00+08:00,56073.0,56046.0,56101.0,56046.0,1.11840736,20210311
15388,2021-03-11 12:39:00+08:00,56044.86701814,56012.0,56044.86701814,56011.0,0.32235605,20210311
15387,2021-03-11 12:40:00+08:00,56012.0,55966.0,56012.0,55945.93644387,1.31709144,20210311
15386,2021-03-11 12:41:00+08:00,55976.59098801,56022.0,56024.0,55976.59098801,0.58928311,20210311
15385,2021-03-11 12:42:00+08:00,56022.0,56048.0,56051.0,56022.0,0.56230112,20210311
15384,2021-03-11 12:43:00+08:00,56040.0,56022.0,56040.0,55995.0,0.34181172,20210311
15383,2021-03-11 12:44:00+08:00,56022.0,56052.0,56066.0,56022.0,0.58411159,20210311
15382,2021-03-11 12:45:00+08:00,56000.0,55978.0,56000.0,55915.18119,1.06326738,20210311
15381,2021-03-11 12:46:00+08:00,55967.0,55859.0,55967.0,55839.62885,1.84526838,20210311
15380,2021-03-11 12:47:00+08:00,55840.0,55825.0,55885.0,55822.10778708,2.68594165,20210311
15379,2021-03-11 12:48:00+08:00,55822.10773001,55820.0,55827.0,55820.0,0.42922511,20210311
15378,2021-03-11 12:49:00+08:00,55820.9151599,55717.0,55844.0,55717.0,6.01085037,20210311
15377,2021-03-11 12:50:00+08:00,55717.0,55748.0,55827.0,55698.7073584,2.36045534,20210311
15376,2021-03-11 12:51:00+08:00,55749.0,55836.0,55838.8045676,55749.0,0.60465384,20210311
15375,2021-03-11 12:52:00+08:00,55823.96556,55798.0,55824.0,55789.0,0.6571335,20210311
15374,2021-03-11 12:53:00+08:00,55819.0,55800.0,55819.0,55800.0,0.06948035,20210311
15373,2021-03-11 12:54:00+08:00,55815.0,55812.0,55819.0,55803.0,0.01436532,20210311
15372,2021-03-11 12:55:00+08:00,55800.0,55765.0,55800.0,55761.0,0.87398995,20210311
15371,2021-03-11 12:56:00+08:00,55768.0,55813.24082176,55820.0,55768.0,3.85876326,20210311
15370,2021-03-11 12:57:00+08:00,55805.0,55788.0,55812.0,55765.0,6.53858957,20210311
15369,2021-03-11 12:58:00+08:00,55801.0,55871.56572614,55871.56572614,55801.0,6.48173167,20210311
15368,2021-03-11 12:59:00+08:00,55872.0,55847.0,55884.0,55841.589636,0.056,20210311
15367,2021-03-11 13:00:00+08:00,55877.0,55775.0,55895.0,55767.0,2.43691159,20210311
15487,2021-03-11 13:01:00+08:00,55787.0,55830.0,55840.0,55768.0,6.94334124,20210311
15486,2021-03-11 13:02:00+08:00,55830.0,55765.0,55860.83105732,55765.0,22.246291890000002,20210311
15485,2021-03-11 13:03:00+08:00,55765.0,55725.150982,55765.41177892,55699.48353696,8.11708865,20210311
15484,2021-03-11 13:04:00+08:00,55724.0,55584.0,55724.0,55523.88968874,25.60460214,20210311
15483,2021-03-11 13:05:00+08:00,55586.0,55610.0,55684.0,55569.0,8.80349941,20210311
15482,2021-03-11 13:06:00+08:00,55602.0,55534.0,55618.0,55521.0,1.86168894,20210311
15481,2021-03-11 13:07:00+08:00,55538.0,55645.0,55645.0,55538.0,1.6695103900000001,20210311
15480,2021-03-11 13:08:00+08:00,55573.0,55570.0,55599.0,55561.0,0.61976982,20210311
15479,2021-03-11 13:09:00+08:00,55579.0,55587.99537936,55613.0,55579.0,1.73772389,20210311
15478,2021-03-11 13:10:00+08:00,55589.0,55521.0,55590.0,55521.0,1.04462638,20210311
15477,2021-03-11 13:11:00+08:00,55528.0,55530.0,55555.0,55519.0,1.03971949,20210311
15476,2021-03-11 13:12:00+08:00,55530.0,55598.0,55603.0,55530.0,1.51103753,20210311
15475,2021-03-11 13:13:00+08:00,55599.0,55583.0,55602.0,55570.0,0.38461795,20210311
15474,2021-03-11 13:14:00+08:00,55588.0,55581.0,55588.0,55527.0,1.2569458900000001,20210311
15473,2021-03-11 13:15:00+08:00,55571.0,55551.0,55571.0,55518.16153607,0.68930987,20210311
15472,2021-03-11 13:16:00+08:00,55562.0,55576.0,55576.0,55551.0,0.11349877,20210311
15471,2021-03-11 13:17:00+08:00,55576.0,55576.0,55678.65354,55576.0,1.32518066,20210311
15470,2021-03-11 13:18:00+08:00,55570.0,55506.0,55577.0,55505.0,1.88658586,20210311
15469,2021-03-11 13:19:00+08:00,55505.0,55521.0,55539.0,55493.0,3.58691315,20210311
15468,2021-03-11 13:20:00+08:00,55517.0,55495.0,55517.0,55465.19846,4.5051463,20210311
15467,2021-03-11 13:21:00+08:00,55506.0,55465.0,55530.0,55465.0,8.63256675,20210311
15466,2021-03-11 13:22:00+08:00,55466.0,55535.0,55535.0,55424.0,8.22575474,20210311
15465,2021-03-11 13:23:00+08:00,55524.0,55562.0,55564.0,55524.0,0.12731939,20210311
15464,2021-03-11 13:24:00+08:00,55582.0,55565.0,55585.0,55531.0,0.17214,20210311
15463,2021-03-11 13:25:00+08:00,55563.0,55555.847886,55563.0,55555.847886,0.05,20210311
15462,2021-03-11 13:26:00+08:00,55555.847886,55629.0,55629.0,55555.847886,0.73683652,20210311
15461,2021-03-11 13:27:00+08:00,55629.7709176,55603.0,55638.0,55600.0,1.05475831,20210311
15460,2021-03-11 13:28:00+08:00,55601.0,55664.0,55664.0,55586.0,3.41215,20210311
15459,2021-03-11 13:29:00+08:00,55661.0,55701.0,55703.979639,55650.0,4.31314643,20210311
15458,2021-03-11 13:30:00+08:00,55700.0,55660.0,55701.0,55660.0,1.29066772,20210311
15457,2021-03-11 13:31:00+08:00,55646.46939086,55594.0,55646.46939086,55593.0,1.02958,20210311
15456,2021-03-11 13:32:00+08:00,55594.0,55629.7709176,55645.27664277,55594.0,0.38486921,20210311
15455,2021-03-11 13:33:00+08:00,55629.7709176,55585.0,55644.0,55585.0,1.3131005,20210311
15454,2021-03-11 13:34:00+08:00,55569.0,55514.0,55569.0,55511.0,0.49416874,20210311
15453,2021-03-11 13:35:00+08:00,55513.418872,55447.0,55513.418872,55442.57456,0.79545052,20210311
15452,2021-03-11 13:36:00+08:00,55442.19094695,55426.0,55442.19094695,55392.0,3.69881847,20210311
15451,2021-03-11 13:37:00+08:00,55410.0,55406.0,55413.0,55338.0,8.02933058,20210311
15450,2021-03-11 13:38:00+08:00,55406.0,55426.0,55470.17624,55378.0,2.72457131,20210311
15449,2021-03-11 13:39:00+08:00,55408.0,55355.0,55408.0,55336.0,4.08730646,20210311
15448,2021-03-11 13:40:00+08:00,55355.0,55342.0,55355.0,55331.0,1.53454285,20210311
15447,2021-03-11 13:41:00+08:00,55349.0,55367.0,55377.0,55349.0,0.3971,20210311
15446,2021-03-11 13:42:00+08:00,55360.0,55327.0,55368.0,55327.0,0.75428541,20210311
15445,2021-03-11 13:43:00+08:00,55328.0,55330.69363315,55332.0,55323.0,0.29589361,20210311
15444,2021-03-11 13:44:00+08:00,55335.0,55366.0,55373.0,55333.0,1.09252448,20210311
15443,2021-03-11 13:45:00+08:00,55330.0,55354.0,55355.0,55269.0,3.81349334,20210311
15442,2021-03-11 13:46:00+08:00,55340.0,55302.0,55386.74362583,55302.0,0.88451406,20210311
15441,2021-03-11 13:47:00+08:00,55315.1904968,55389.0,55389.0,55315.1904968,0.8995000000000001,20210311
15440,2021-03-11 13:48:00+08:00,55389.0,55435.0,55459.0,55389.0,1.09321695,20210311
15439,2021-03-11 13:49:00+08:00,55445.0,55411.0,55469.02931135,55411.0,9.112,20210311
15438,2021-03-11 13:50:00+08:00,55412.0,55384.0,55445.0,55384.0,0.2222,20210311
15437,2021-03-11 13:51:00+08:00,55390.0,55341.880445,55391.0,55341.880445,0.95652273,20210311
15436,2021-03-11 13:52:00+08:00,55341.880445,55353.0,55364.0,55328.0,0.9040440000000001,20210311
15435,2021-03-11 13:53:00+08:00,55367.0,55398.0,55400.0,55367.0,0.67352472,20210311
15434,2021-03-11 13:54:00+08:00,55397.0,55442.0,55451.0,55397.0,0.95477906,20210311
15433,2021-03-11 13:55:00+08:00,55429.0,55462.0,55466.0,55423.0,1.14008662,20210311
15432,2021-03-11 13:56:00+08:00,55425.323416,55355.0,55432.0,55355.0,0.16991678999999998,20210311
15431,2021-03-11 13:57:00+08:00,55387.602842,55429.84946386,55429.84946386,55374.0,0.24889066,20210311
15430,2021-03-11 13:58:00+08:00,55431.04224752,55385.762814,55439.0,55385.762814,0.8602217600000001,20210311
15429,2021-03-11 13:59:00+08:00,55377.0448665,55331.481988,55377.0448665,55328.0,0.2816,20210311
15428,2021-03-11 14:00:00+08:00,55328.0,55100.0,55328.0,55089.0,57.04519612,20210311
15548,2021-03-11 14:01:00+08:00,55100.0,55089.0,55185.0,55089.0,1.83410669,20210311
15547,2021-03-11 14:02:00+08:00,55090.0,55146.0,55148.0,55090.0,0.71335032,20210311
15546,2021-03-11 14:03:00+08:00,55150.0,55149.59438625,55200.0,55111.0,2.41719304,20210311
15545,2021-03-11 14:04:00+08:00,55119.773072,55170.0,55170.0,55111.0,2.6683092,20210311
15544,2021-03-11 14:05:00+08:00,55169.0,55194.0,55199.0,55158.0,2.00364977,20210311
15543,2021-03-11 14:06:00+08:00,55200.0,55239.0,55239.0,55183.0,1.22584823,20210311
15542,2021-03-11 14:07:00+08:00,55238.430884,55375.0,55375.0,55238.0,3.78923105,20210311
15541,2021-03-11 14:08:00+08:00,55369.0,55468.0,55488.0,55351.0,2.06587586,20210311
15540,2021-03-11 14:09:00+08:00,55468.0,55409.0,55468.0,55390.0,1.39442,20210311
15539,2021-03-11 14:10:00+08:00,55404.0,55311.0,55404.0,55311.0,1.14777554,20210311
15538,2021-03-11 14:11:00+08:00,55346.0,55360.0,55395.0,55328.0,0.61972799,20210311
15537,2021-03-11 14:12:00+08:00,55360.0,55408.0,55419.0,55326.0,0.64969369,20210311
15536,2021-03-11 14:13:00+08:00,55408.0,55467.0,55467.0,55367.0,13.950114020000001,20210311
15535,2021-03-11 14:14:00+08:00,55467.0,55472.88581712,55503.0,55467.0,10.86395967,20210311
15534,2021-03-11 14:15:00+08:00,55480.0,55582.0,55582.0,55480.0,1.64508332,20210311
15533,2021-03-11 14:16:00+08:00,55582.0,55596.0,55596.0,55551.0,2.37998919,20210311
15532,2021-03-11 14:17:00+08:00,55587.0,55593.0,55602.0,55565.116346,5.35904477,20210311
15531,2021-03-11 14:18:00+08:00,55593.0,55592.0,55634.0,55592.0,11.74314658,20210311
15530,2021-03-11 14:19:00+08:00,55560.0,55658.0,55697.0,55560.0,20.69808692,20210311
15529,2021-03-11 14:20:00+08:00,55666.0,55646.0,55666.0,55641.0,0.35254384,20210311
15528,2021-03-11 14:21:00+08:00,55641.0071502,55602.0,55641.0071502,55576.0,1.29818787,20210311
15527,2021-03-11 14:22:00+08:00,55609.0,55577.0,55614.0,55577.0,2.07940652,20210311
15526,2021-03-11 14:23:00+08:00,55589.0,55601.0,55613.0,55579.0,0.18201173,20210311
15525,2021-03-11 14:24:00+08:00,55577.0,55592.0,55615.0,55576.0,0.17077140000000002,20210311
15524,2021-03-11 14:25:00+08:00,55594.0,55659.0,55659.0,55594.0,1.1402207100000001,20210311
15523,2021-03-11 14:26:00+08:00,55659.0,55601.0,55659.0,55579.0,0.26511483,20210311
15522,2021-03-11 14:27:00+08:00,55601.0,55604.0,55604.0,55592.0,0.02025155,20210311
15521,2021-03-11 14:28:00+08:00,55601.0,55614.0,55619.0,55601.0,0.14641901000000002,20210311
15520,2021-03-11 14:29:00+08:00,55614.0,55615.69609354,55622.0,55610.0,0.086053,20210311
15519,2021-03-11 14:30:00+08:00,55605.0,55588.0,55605.0,55564.0,0.20244822,20210311
15518,2021-03-11 14:31:00+08:00,55575.0,55552.0,55575.0,55551.0,0.04859589,20210311
15517,2021-03-11 14:32:00+08:00,55550.19067911,55489.0,55550.19067911,55489.0,9.65032382,20210311
15516,2021-03-11 14:33:00+08:00,55488.19402907,55499.0,55500.0,55483.0,2.3154147000000003,20210311
15515,2021-03-11 14:34:00+08:00,55500.0,55554.71889,55555.09162724,55499.04884416,6.47326502,20210311
15514,2021-03-11 14:35:00+08:00,55538.0,55494.0,55540.0,55494.0,0.6175,20210311
15513,2021-03-11 14:36:00+08:00,55493.08684596,55515.0,55515.0,55480.0,0.20234017,20210311
